Facility #,Facility Name,Facility Name Overflow,Facility Street,Facility City,Facility State,Facility Zip Code,Facility County,Owner Name ,Owner Name Overflow,Business Type,Original Issuance Date,Last Renewal Date,Expiration Date,Georeference
7073596,ALBANY MACK SALES,,90 HARTS LA,ALBANY,NY,12204,ALBA,SBD HOLDING COMPANY,,DLU,02/27/1996,12/19/2019,01/31/2022,POINT (-73.722963513 42.700786134)
7012141,ALBANY MARINE SUPPLY,CO INC,1308 BROADWAY,ALBANY,NY,12204,ALBA,THOMAS CAUFIELD,,DLB,03/25/1986,12/01/2017,11/30/2019,POINT (-73.735785559 42.67608458)
7012141,ALBANY MARINE SUPPLY,CO INC,1308 BROADWAY,ALBANY,NY,12204,ALBA,THOMAS CAUFIELD,,DLU,08/26/1988,12/01/2017,11/30/2019,POINT (-73.735785559 42.67608458)
7084173,ALBANY VOLVO HINO,TRUCK SALES,90 HARTS LA,ALBANY,NY,12204,ALBA,ALBANY TRUCK SALES,LLC,DLU,03/23/1999,02/08/2021,02/28/2023,POINT (-73.722963513 42.700786134)
7130921,ALFA ROMEO OF ALBANY,,2056 CENTRAL AVE,ALBANY,NY,12205,ALBA,BUL AUTO SALES &,SERVICE 1 INC,DLN,03/09/2023,,02/28/2025,POINT (-73.870983968 42.750321265)
7108128,AL KANUAM CARS,,84 ALEXANDER ST,ALBANY,NY,12202,ALBA,ABDULSATTAR SALIH,,DLU,04/15/2009,03/28/2023,03/31/2025,POINT (-73.762370261 42.640751434)
7126278,ALL 4 ONE AUTOMOTIVE,INC,569 DELAWARE AVE,ALBANY,NY,12209,ALBA,DANISH KHOKAV,,DLU,11/23/2020,10/04/2023,09/30/2025,POINT (-73.789615805 42.638470425)
7123899,A M A AUTO SALE,,1053 CENTRAL AV FRNT,ALBANY,NY,12205,ALBA,ALBERT TORRES,,DLU,05/18/2018,,04/30/2020,POINT (-73.797316343 42.686751738)
7104656,AMB AUTO,,435 SOUTH PEARL ST,ALBANY,NY,12202,ALBA,AMB NY GROUP LLC,,DLU,08/23/2007,06/05/2023,07/31/2025,POINT (-73.759617644 42.637733781)
7049719,AMERICAN,DISTRIBUTORS,261 NEW KARNER RD,ALBANY,NY,12205,ALBA,PA RUTH AUTOMOTIVE,SALES & SVC INC,DLU,11/14/1989,10/30/2023,10/31/2025,POINT (-73.86309995 42.721713662)
7084253,ANGELO CITONE,,11 HARVARD AVE,ALBANY,NY,12208,ALBA,ANGELO CITONE,,DLU,02/06/2002,03/16/2017,03/31/2019,POINT (-73.798466089 42.657649225)
7123145,ARMORY CHRYSLR DODGE,JEEP RAM FIAT OF ALB,960 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,LITHIA ARMORY GARAGE,LLC,DLN,11/03/2017,08/31/2023,10/31/2025,POINT (-73.793733667 42.68233745)
7111795,ARMORY FIAT,,934 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,AFOA LLC,,DLN,03/23/2011,02/22/2017,02/28/2019,POINT (-73.791638416 42.681397281)
7121955,ASSI AUTO SALES LLC,,35 COLBY STREET,ALBANY,NY,12206,ALBA,KHODR A ASSI,,DLU,01/23/2017,11/17/2020,12/31/2022,POINT (-73.778909433 42.675500583)
7129759,AUTO RITE TIRE,SERVICE & SALES INC,667 CENTRAL AVE,ALBANY,NY,12206,ALBA,MUHAMMAD KHAN,,DLU,04/12/2022,02/09/2024,03/31/2026,POINT (-73.784576437 42.675756734)
7077689,BOB HACKEL JR USED,CARS INC,1372 CENTRAL AVE,ALBANY,NY,12205,ALBA,ROBERT W HACKEL JR,,DLU,04/03/1997,03/16/2023,03/31/2025,POINT (-73.817880337 42.704071013)
7104464,BOOMER MCLOUD,,1021 CENTRAL AVE,ALBANY,NY,12205,ALBA,CAR ESSENTIALS INC,,DLU,07/20/2007,06/28/2017,06/30/2019,POINT (-73.795827801 42.685408119)
7032963,BRIAN SCAVO,,123 ORANGE ST,ALBANY,NY,12210,ALBA,BRIAN SCAVO,,DLU,01/16/1986,10/26/2015,12/31/2019,POINT (-73.753484941 42.655633084)
7116480,BROADWAY CARS LLC,,1972 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,FREDERICK J DERISE,,DLU,08/22/2013,06/17/2023,07/31/2025,POINT (-73.860093026 42.74091283)
7116783,BUY RITE AUTO SALES,,1098 CENTRAL AVE,ALBANY,NY,12205,ALBA,ERNEST F BOVEE JR,,DLU,10/22/2013,08/02/2023,09/30/2025,POINT (-73.799683728 42.68801401)
7116086,BYRIDER,,2017 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,TCP ALBANY AUTO,SALES LLC,DLU,06/07/2013,05/17/2023,05/31/2025,POINT (-73.867089401 42.748511193)
7030787,CAPITALAND AUTO &,NATIONL TRCK RPR INC,22 KRAFT AV,ALBANY,NY,12205,ALBA,JOSEPH BRIAN PEEK,,DLU,12/22/1987,04/19/2023,06/30/2025,POINT (-73.806367709 42.691209569)
7110176,CAPITAL DISTRICT,AUTO,1172 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,G&A AUTO CARE INC,,DLU,04/21/2010,03/14/2024,03/31/2026,POINT (-73.805521221 42.693017587)
7102046,CAPITOL VOLVO OF,ALBANY,350 NEW KARNER RD,ALBANY,NY,12205,ALBA,TEK AUTOMOTIVE GROUP,LLC,DLN,06/14/2006,04/13/2022,05/31/2024,POINT (-73.853774748 42.731565248)
3010751,CAR BODY SHOP,,115 FIRST ST,ALBANY,NY,12210,ALBA,CARLOS A ROVITO,,DLU,05/29/1990,04/25/2024,06/30/2026,POINT (-73.755577567 42.65883254)
7121871,CARMAX,,1860 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,CARMAX AUTO,SUPERSTORES INC,DLU,01/03/2017,11/21/2022,12/31/2024,POINT (-73.851515573 42.732826347)
7126189,CAR SPOT LLC,,1141 CNTRL AV UNIT C,ALBANY,NY,12205,ALBA,TYLER HUGHES,,DLU,10/01/2019,,09/30/2021,POINT (-73.802476411 42.691374776)
7116826,CAR STORE INC THE,,1999 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,OLEG LEVCHENKO,,DLU,10/29/2013,09/15/2021,09/30/2023,POINT (-73.864790057 42.745695666)
7124801,CENTRAL AUTO SERVICE,CENTER LLC,551 CENTRAL AVENUE,ALBANY,NY,12206,ALBA,SAJID SAFI,,DLU,04/25/2019,09/30/2022,10/31/2024,POINT (-73.779076568 42.670857805)
7051598,CENTRAL MOTORS,,1022 CENTRAL AVE,ALBANY,NY,12205,ALBA,VINCENT PUGLIATTI,,DLU,05/29/1990,03/29/2024,04/30/2026,POINT (-73.796075486 42.6849534)
7118639,CENTRAL SALES,,1054 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,RASSOL HEYDARY,,DLU,10/30/2014,07/14/2024,09/30/2026,POINT (-73.797585151 42.686266048)
7102935,CENTRE AUTO INC,,484 CENTRAL AVE,ALBANY,NY,12206,ALBA,GREGORY CLAYTON,,DLU,11/15/2006,10/07/2022,10/31/2024,POINT (-73.779143204 42.668563175)
7123878,CIRCLE D RVS,,1955 B CENTRAL AVE,ALBANY,NY,12205,ALBA,DEBBIE LEE,,DLU,05/11/2018,05/12/2020,04/30/2022,POINT (-73.858393931 42.740240978)
7041195,CLINTON USED CARS,,42 WATERVLIET AVENUE,ALBANY,NY,12206,ALBA,PAMELA WOOD,,DLU,11/06/1987,11/02/2017,10/31/2019,POINT (-73.782857477 42.676287812)
3010031,COLONIE GARAGE INC,,1334 CENTRAL AVE,ALBANY,NY,12205,ALBA,GARRETT E CANFIELD,,DLU,04/10/1997,04/09/2024,05/31/2026,POINT (-73.815630467 42.70195014)
7013215,CONTRACTORS SALES CO,INC,KARNER RD PO BX12010,ALBANY,NY,12212,ALBA,ZACHARY D MANZ,,DLU,12/04/1980,11/27/2023,12/31/2025,POINT (-73.86235571 42.72130122)
7095117,COPART AUTO AUCTIONS,,1916 CENTRAL AVE,ALBANY,NY,12205,ALBA,COPART OF,CONNECTICUT INC,DLB,06/30/2008,04/21/2023,05/31/2025,POINT (-73.854907059 42.735690317)
7095117,COPART AUTO AUCTIONS,,1916 CENTRAL AVE,ALBANY,NY,12205,ALBA,COPART OF,CONNECTICUT INC,DLU,06/30/2008,04/21/2023,05/31/2025,POINT (-73.854907059 42.735690317)
7081461,C&R AUTO SALES,,44 CATHERINE ST,ALBANY,NY,12202,ALBA,CHRISTOPHER N,RATTRAY,DLU,05/21/1998,04/03/2024,04/30/2026,POINT (-73.760511993 42.641681071)
7132037,D&A AUTO SALES,,822 LIVINGSTON AVE,ALBANY,NY,12206,ALBA,ROMULO CASTILLO,,DLU,11/28/2023,,10/31/2025,POINT (-73.779831981 42.676276164)
7122432,DAKAR AUTO SALES,CORP,142 CATHERINE ST,ALBANY,NY,12202,ALBA,CHEILA DIAO,,DLU,07/05/2017,05/31/2019,06/30/2021,POINT (-73.764900003 42.643033868)
7128649,DAKAR AUTO SALES,CORP,142 CATHERINE STE 5,ALBANY,NY,12202,ALBA,CHEILA A DIAO,,DLU,07/23/2021,05/23/2023,06/30/2025,POINT (-73.764900003 42.643033868)
7129861,DAVE MOSHER AUTO,SALES LLC,1999 CENTRAL AVE,ALBANY,NY,12205,ALBA,DAVID MOSHER,,DLU,05/06/2022,02/29/2024,04/30/2026,POINT (-73.864790057 42.745695666)
7011904,DAVID ABBOTT & SON,INC,27 N MANNING BLV,ALBANY,NY,12206,ALBA,DAVID ABBOTT,,DLU,01/14/1981,04/19/2024,06/30/2026,POINT (-73.776586141 42.673897657)
7083187,DEAN AUTO SALES,,3 ALTA ROAD,ALBANY,NY,12205,ALBA,MAUREEN DEAN,,DLU,12/10/1998,09/28/2016,11/30/2018,POINT (-73.870176624 42.749350221)
7122281,DEAN AUTO SALES OF,ALBANY,1 ALTA ROAD,ALBANY,NY,12205,ALBA,MICHAEL D DEAN,,DLU,05/10/2017,03/09/2023,04/30/2025,POINT (-73.869432725 42.749573642)
7097398,DEAN FOX AUTO,SERVICES LLC,179 SPRING STREET,ALBANY,NY,12203,ALBA,DEAN A FOX 3RD,,DLU,05/28/2004,02/17/2024,04/30/2026,POINT (-73.776750171 42.663939298)
7058755,DELAWARE SERVICE,,569 DELAWARE AV,ALBANY,NY,12209,ALBA,GROSS OPERATING CORP,,DLU,04/29/1992,03/11/2022,03/31/2024,POINT (-73.789615805 42.638470425)
3010116,DENOOYER CHEVROLET,INC,127 WOLF RD,ALBANY,NY,12205,ALBA,JOEL DENOOYER,,DLN,12/12/1980,04/08/2024,05/31/2026,POINT (-73.806501401 42.717529248)
7039767,DENOOYER DIRECT,,2038 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,JD FOREIGN CAR SALES,INC,DLU,07/06/1987,04/05/2023,06/30/2025,POINT (-73.868086596 42.747770903)
7039767,DENOOYER DIRECT,,2038 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,JD FOREIGN CAR SALES,INC,DLB,12/10/2010,04/05/2023,06/30/2025,POINT (-73.868086596 42.747770903)
3470408,DEPAULA CHEVROLET,INC,785 CENTRAL AVENUE,ALBANY,NY,12206,ALBA,ANTHONY J DEPAULA,,DLN,12/05/1980,12/28/2023,02/28/2026,POINT (-73.788410068 42.679110208)
7122247,DEPAULA FORD LLC,,799 CENTRAL AVENUE,ALBANY,NY,12206,ALBA,ANTHONY DEPAULA,,DLN,05/02/2017,03/24/2023,04/30/2025,POINT (-73.788930501 42.679555161)
7122253,DEPAULA MAZDA,,1586 CENTRAL AVE,ALBANY,NY,12205,ALBA,DEPAULA IMPORTS II,LLC,DLN,05/03/2017,04/12/2023,04/30/2025,POINT (-73.832975139 42.716401756)
7100673,DESTINATION KIA,,760 CENTRAL AVE,ALBANY,NY,12206,ALBA,ADVANTAGE SUZUKI LLC,,DLN,11/03/2005,09/28/2023,10/31/2025,POINT (-73.78689286 42.676542035)
3010077,DESTINATION NISSAN,,770 CENTRAL AVE,ALBANY,NY,12206,ALBA,DESTINATION 770 AUTO,INC,DLN,12/24/1980,04/22/2024,05/31/2026,POINT (-73.787220257 42.677013475)
7131447,DIMMICK GROUP,PETERBILT,65 RAILROAD AVE,ALBANY,NY,12205,ALBA,LUCKYS TRUCK &,TRAILER SALES INC,DLU,08/04/2023,,07/31/2025,POINT (-73.823818413 42.696917603)
7120912,DIPS,,822 LIVINGSTON AVE,ALBANY,NY,12206,ALBA,SEQUASIA ROUSE,,DLU,06/14/2017,,05/31/2019,POINT (-73.779831981 42.676276164)
7038821,EASTWIND MARINE,,27 NO MANNING BLV,ALBANY,NY,12206,ALBA,DAVID E ABBOTT,,DLB,04/28/1987,02/22/2023,03/31/2025,POINT (-73.776586141 42.673897657)
7078927,EDK AUTOMOTIVE INC,,103 WEST ST,ALBANY,NY,12206,ALBA,EDWARD F NEWELL 3RD,,DLU,07/11/1997,05/03/2023,06/30/2025,POINT (-73.77392681 42.664489989)
7111216,EUROPEAN REPAIRS INC,,11 ESSEX STREET,ALBANY,NY,12206,ALBA,MARINA SHUMERAY,,DLU,04/18/2012,09/05/2018,10/31/2020,POINT (-73.777834837 42.676573734)
7013060,FREDERICK J,CALVANESE,3B TEUNIS AVENUE,ALBANY,NY,12208,ALBA,FREDERICK J,CALVANESE,DLU,12/22/1980,05/13/2020,04/30/2022,POINT (-73.796834552 42.660637667)
7128785,GABRIELLI TRUCK,SALES OF NEW YRK INC,90 HARTS LANE,ALBANY,NY,12204,ALBA,ARMANDO GABRIELLI,,DLU,08/19/2021,06/05/2023,07/31/2025,POINT (-73.723269689 42.700812799)
7126701,GARYS GARAGE &,TRANSPORT LLC,8A APOLLO DRIVE,ALBANY,NY,12205,ALBA,HURWITZ M AARON,,DLU,09/25/2023,03/08/2024,01/31/2026,POINT (-73.866970546 42.723341804)
7099506,GEMINI MOTOR CARS,LLC,205 SPRUCE ST,ALBANY,NY,12210,ALBA,MAGDA E SFEIR,,DLU,05/05/2005,03/24/2017,04/30/2019,POINT (-73.760709136 42.657863802)
7131806,GENESIS OF ALBANY,,345-347 NEW KARNER,ALBANY,NY,12205,ALBA,MAG RETAIL HOLDINGS,GNY LLC,DLN,10/03/2023,,09/30/2025,POINT (-73.853480627 42.729490433)
7122289,GJJ AUTO SALES AND,REPAIR INC,284 CENTRAL AVE,ALBANY,NY,12206,ALBA,ISMAT FARHAN,,DLU,05/11/2017,05/05/2021,04/30/2023,POINT (-73.772231906 42.664275161)
7002493,GOLDSTEIN BUICK GMC,,PBX12130 1671 CTL AV,ALBANY,NY,12205,ALBA,ALAN BUICK INC,,DLN,12/22/1981,08/11/2023,10/31/2025,POINT (-73.8214951 42.7178817)
3420306,GOLDSTEIN SUBARU,,PBX12130 1754 CTL AV,ALBANY,NY,12205,ALBA,GOLDSTEIN MOTORS INC,,DLN,11/13/1980,04/16/2024,06/30/2026,POINT (-73.8214951 42.7178817)
7123962,GOOD LUCK MOTORS AND,REPAIRS INC,102 ONTARIO STREET,ALBANY,NY,12206,ALBA,USMAN RASHID,,DLU,06/18/2018,04/09/2024,05/31/2026,POINT (-73.773420124 42.668383928)
7122385,HIGHLINE MOTORS,,127A VFW ROAD,ALBANY,NY,12205,ALBA,WHOLESALE CALIFORNA,LLC,DLU,06/22/2017,,05/31/2019,POINT (-73.859698155 42.722678209)
3010144,HL GAGE SALES INC,,121 WASHINGTON AV EX,ALBANY,NY,12205,ALBA,J GARY HANS,,DLU,12/18/1980,04/02/2024,05/31/2026,POINT (-73.846063648 42.693012223)
7107994,HUNTERS AUTO SERVICE,INC,141 HUNTER AVENUE,ALBANY,NY,12206,ALBA,ANDREY SETCHENKOV,,DLU,03/23/2009,02/06/2023,02/28/2025,POINT (-73.784349288 42.676452223)
7129642,IDEAL AUTO SERVICES,,35 COLBY ST,ALBANY,NY,12206,ALBA,NURETTIN IPEK,,DLU,03/15/2022,02/29/2024,02/28/2026,POINT (-73.778909433 42.675500583)
7121426,IPEK AUTO SALES LLC,,62 FULLER RD SUITE 1,ALBANY,NY,12205,ALBA,HAVZI IPEK,,DLU,09/19/2016,06/28/2024,08/31/2026,POINT (-73.821832153 42.699249449)
7130436,JAGUAR ALBANY,,351A NEW KARNER ROAD,ALBANY,NY,12205,ALBA,MAG RETAIL HOLDINGS,JLR LLC,DLN,10/21/2022,,09/30/2024,POINT (-73.853016605 42.72961063)
7109811,JAGUAR ALBANY,,347 NEW KARNER ROAD,ALBANY,NY,12205,ALBA,TEK AUTOMOTIVE GROUP,LLC,DLN,02/23/2010,01/05/2022,01/31/2024,POINT (-73.853480627 42.729490433)
7115912,JBR AUTO SALES,,1363 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,JBR AUTO WHOLESALE,LLC,DLU,05/09/2013,04/10/2023,04/30/2025,POINT (-73.817301986 42.704593331)
7068557,JEFFERSON MOTORS INC,,24 ESSEX ST,ALBANY,NY,12206,ALBA,PETER HENRY,,DLU,11/10/1994,06/07/2023,06/30/2025,POINT (-73.778320604 42.677056725)
7110981,JEUDY SUPERIOR,TRANSPORTATION,733 3RD STREET,ALBANY,NY,12206,ALBA,CHARLES JEUDY,,DLU,09/17/2010,07/25/2024,08/31/2026,POINT (-73.780574665 42.676268743)
7127481,JOES AUTO SALES LLC,,1 ERIE BLVD,ALBANY,NY,12204,ALBA,JOSEPH M LOVE,,DLU,01/15/2021,12/30/2022,12/31/2024,POINT (-73.743325655 42.657417759)
7115913,JP PHILLIPS GENERAL,MOTORS LLC,822 LIVINGSTON AVE,ALBANY,NY,12206,ALBA,JERRY AZIAKA,,DLU,05/09/2013,05/19/2017,04/30/2019,POINT (-73.779831981 42.676276164)
7130074,JSCM DUCATI TRIUMPH,ALBANY,2054 CENTRAL AVE,ALBANY,NY,12205,ALBA,JSC MOTORSPORTS LLC,,DLU,06/28/2022,04/01/2024,05/31/2026,POINT (-73.870481306 42.749798234)
7090355,KARMA ALBANY,,2056 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,BUL AUTO SALES &,SERVICE INC,DLN,06/28/2001,04/28/2023,05/31/2025,POINT (-73.870983968 42.750321265)
7115736,KHAN & KHANS AUTO,FIX INC,409 CENTRAL AVENUE,ALBANY,NY,12206,ALBA,SHAHBAZ KHAN,,DLU,04/03/2013,03/10/2021,03/31/2023,POINT (-73.775277219 42.667645064)
3010713,KNIGHTONS AUTO,SERVICES INC,1820 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,JOHN KNIGHTON,,DLU,09/20/1984,08/01/2023,09/30/2025,POINT (-73.848446288 42.730843775)
7126784,KOCIU AUTO,,PB6262 820 LVNGSTN,ALBANY,NY,12206,ALBA,LIKARDO KOCIU,,DLU,02/27/2020,01/30/2024,01/31/2026,POINT (-73.7816475 42.6727449)
7130437,LAND ROVER ALBANY,,351 NEW KARNER ROAD,ALBANY,NY,12205,ALBA,MAG RETAIL HOLDINGS,JLR LLC,DLN,10/18/2022,,09/30/2024,POINT (-73.853016605 42.72961063)
7109810,LAND ROVER ALBANY,,347 NEW KARNER ROAD,ALBANY,NY,12205,ALBA,TEK AUTOMOTIVE GROUP,LLC,DLN,02/23/2010,01/05/2022,01/31/2024,POINT (-73.853480627 42.729490433)
7030324,LEE PIETROCOLA LLC,,513 BRADFORD ST,ALBANY,NY,12206,ALBA,LEE PIETROCOLA,,DLU,06/03/1985,05/16/2023,05/31/2025,POINT (-73.785674383 42.67436802)
7087666,LETO AUTO EXCHANGE,,38 YARDBORO AV,ALBANY,NY,12205,ALBA,BRIAN K LETO,,DLU,08/22/2000,07/10/2024,07/31/2026,POINT (-73.801094738 42.688315549)
3010619,LIA HONDA,,1258 CENTRAL AV,ALBANY,NY,12205,ALBA,DELMAR AUTO PLAZA,LTD,DLN,11/21/1980,02/08/2024,04/30/2026,POINT (-73.812416761 42.697549012)
7086497,LIA HYUNDAI,,945 CENTRAL AVE,ALBANY,NY,12205,ALBA,DELMAR AUTO PLAZA,LTD,DLN,02/02/2000,11/30/2023,01/31/2026,POINT (-73.792895057 42.683146639)
7110113,LION FIRST RESPONDER,PPE INC,20 CORPORATE CIRCLE,ALBANY,NY,12203,ALBA,STEPHEN A SCHWARTZ,,DLU,04/09/2010,03/22/2024,03/31/2026,POINT (-73.87640882 42.701677728)
7120726,LITTLE MOTORS,,363 CENTRAL AVE,ALBANY,NY,12206,ALBA,PEREZ AUTO GROUP LLC,,DLU,03/03/2016,03/02/2022,02/28/2024,POINT (-73.773757412 42.66632504)
7120326,LOOK SIGN DRIVE,,54A DOTT AVENUE,ALBANY,NY,12205,ALBA,ERNEST J MAIER 3RD,,DLU,12/10/2015,11/20/2023,11/30/2025,POINT (-73.812776931 42.693282539)
7127596,MALOUM AUTO SALES,LLC,142 CATHERINE ST RM5,ALBANY,NY,12202,ALBA,FAMA DIAO,,DLU,06/17/2021,,05/31/2023,POINT (-73.764900003 42.643033868)
7125563,MASERATI AND ALFA,ROMEO OF ALBANY,1586 CENTRAL AVE,ALBANY,NY,12205,ALBA,DEPAULA CHEVROLET,,DLN,05/09/2019,,04/30/2021,POINT (-73.832975139 42.716401756)
7104434,MATAR AUTO SALES LLC,,735 THIRD STREET,ALBANY,NY,12206,ALBA,JEAN MATAR,,DLU,07/17/2007,04/17/2023,06/30/2025,POINT (-73.780645744 42.676322974)
7130431,MCGOVERN VOLVO CARS,ALBANY,350 NEW KARNER ROAD,ALBANY,NY,12205,ALBA,MAG RETAIL HOLDINGS,VLV LLC,DLN,10/17/2022,,09/30/2024,POINT (-73.853774748 42.731565248)
7085867,METRO MIKE TRADING &,CYCLE,1263 BROADWAY,ALBANY,NY,12204,ALBA,MICHAEL REINHART,,DLU,10/01/1999,09/18/2023,09/30/2025,POINT (-73.737104355 42.67303228)
7111611,MIG AUTO SALES INC,,667 CENTRAL AVENUE,ALBANY,NY,12206,ALBA,GRIGORIY MIKHELSON,,DLU,01/28/2011,12/23/2020,12/31/2022,POINT (-73.784576437 42.675756734)
7121304,MIMI AUTO SALES,,170 CATHERINE ST,ALBANY,NY,12202,ALBA,WANDIS FERNELIS MATA,MERCADO,DLU,08/01/2016,08/04/2020,07/31/2022,POINT (-73.766017038 42.643406335)
7126462,M J AUTO LLC,,1053 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,TYRELL J SCHLEEDE,,DLU,02/24/2020,,01/31/2022,POINT (-73.797316343 42.686751738)
7121036,MOBILITYWORKS,,1892 CENTRAL AVE S25,ALBANY,NY,12205,ALBA,WMK LLC,,DLU,05/27/2016,03/01/2024,04/30/2026,POINT (-73.852521737 42.73453592)
7071142,M&W USED CARS,,397 NORTH PEARL ST,ALBANY,NY,12204,ALBA,WILLARD LEE,,DLU,06/15/1995,03/30/2023,05/31/2025,POINT (-73.745533365 42.661847846)
7014792,NAVISTAR INC,,399 ALBNY SHKR RD202,ALBANY,NY,12211,ALBA,NAVISTAR INC,,DLU,12/29/1980,05/12/2023,06/30/2025,POINT (-73.772851 42.705331)
7092062,NORTHEAST AUTO SALES,,694 DELAWARE AVE,ALBANY,NY,12209,ALBA,HAVILL HORN INC,,DLU,11/08/2010,10/31/2022,10/31/2024,POINT (-73.795593276 42.634229559)
7100848,NORTHEAST WRECKER,SALES INC,9 APOLLO DRIVE,ALBANY,NY,12205,ALBA,GARY A HICKOK,,DLU,12/12/2005,09/13/2023,11/30/2025,POINT (-73.868918835 42.724507015)
7015586,NYS OFFICE OF,GENERAL SERVICES,BLDG 18 STATE CAMPUS,ALBANY,NY,12226,ALBA,NYS OFFICE OF,GENERAL SERVICES,DLU,07/08/1988,11/15/2023,11/30/2025,POINT (-73.751229018 42.648870093)
3010492,OTTO CADILLAC INC,,1769 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,CHRISTOPHER OTTO,,DLN,05/12/1983,03/11/2024,05/31/2026,POINT (-73.843916121 42.728325391)
3010492,OTTO CADILLAC INC,,1769 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,CHRISTOPHER OTTO,,DLB,07/17/2008,03/11/2024,05/31/2026,POINT (-73.843916121 42.728325391)
7106685,PAVEMENT TECHNLGIES,INTL CORP,1525 WESTERN AVENUE,ALBANY,NY,12203,ALBA,MARK C REEVES,,DLU,08/07/2008,07/08/2024,07/31/2026,POINT (-73.841968837 42.682776746)
7103975,PETERS CAR SERVICE,,1104 CENTRAL AVENUE,ALBANY,NY,12205,ALBA,PETER LEVCHENKO,,DLU,08/11/2022,08/15/2024,07/31/2026,POINT (-73.800757785 42.689014432)
7111336,PLATNYM AUTO SALES,,509 SOUTH PEARL ST,ALBANY,NY,12202,ALBA,LAMAR W GRADY,,DLU,11/22/2010,11/01/2022,10/31/2024,POINT (-73.762202456 42.635627409)
7117116,POWERMOVES AUTOSALES,,622 CENTRAL AVE REAR,ALBANY,NY,12206,ALBA,ENRIQUE OSORIO,,DLU,12/31/2013,12/12/2017,11/30/2019,POINT (-73.782685312 42.6732241)
3010038,QUAIL AUTO SALES,,49 QUAIL ST,ALBANY,NY,12206,ALBA,JOHN AIDALA,,DLU,12/02/1980,03/20/2024,05/31/2026,POINT (-73.770247825 42.667739779)
7108708,R A AUTO REPAIR AND,SERVICE INC,142 QUAIL ST,ALBANY,NY,12206,ALBA,RAJA ALI,,DLU,06/29/2016,06/28/2023,06/30/2025,POINT (-73.774315228 42.66401)
7125072,REYES MOTORS GROUP,LLC,54B DOTT AVENUE,ALBANY,NY,12205,ALBA,EUGENE J REYES,,DLU,01/24/2019,12/03/2022,12/31/2024,POINT (-73.812776931 42.693282539)
